0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33018,32922,13312,32804,32792,13482,32949,32902,13319,32915,32820,13168,32804,32853,13157,32808,33152,13032,33021,33056,13582,32767,32845,13043,32904,32826,13404,33018,32900,13320,32896,32898,13532,32893,33052,13501,32864,32919,13190,32845,32955,13093,32892,32783,13136,32881,32843,13249
33018,32910,13316,32808,32785,13476,32946,32899,13319,32913,32807,13143,32804,32857,13132,32808,33152,13037,33027,33053,13541,32765,32842,13047,32901,32822,13431,33021,32895,13305,32895,32906,13498,32893,33041,13493,32868,32915,13182,32849,32954,13072,32895,32785,13123,32878,32831,13267
33016,32917,13321,32809,32792,13488,32948,32902,13327,32917,32821,13168,32806,32857,13151,32806,33149,13055,33026,33051,13575,32765,32839,13029,32902,32831,13412,33021,32890,13313,32893,32898,13496,32890,33044,13490,32862,32913,13203,32848,32962,13047,32890,32789,13111,32883,32846,13268
33019,32913,13350,32807,32798,13503,32947,32893,13320,32912,32817,13133,32805,32849,13137,32806,33141,13015,33026,33054,13599,32767,32842,13056,32903,32816,13397,33022,32888,13328,32896,32900,13520,32889,33043,13491,32863,32920,13177,32854,32954,13053,32897,32788,13111,32884,32843,12569
33022,32916,13324,32806,32796,13466,32945,32900,13298,32913,32813,13130,32805,32847,13170,32811,33155,13026,33030,33046,13569,32768,32836,13046,32904,32817,13402,33019,32886,13313,32894,32900,13531,32893,33045,13500,32863,32919,13197,32853,32953,13039,32893,32776,13103,32882,32851,12511
33020,32915,13288,32807,32796,13492,32946,32891,13325,32915,32817,13136,32805,32852,13178,32806,33141,13091,33024,33052,13577,32764,32838,13043,32902,32822,13437,33025,32899,13320,32898,32907,13534,32891,33040,13500,32863,32918,13178,32848,32958,13059,32895,32788,13104,32880,32851,12563
33018,32929,13301,32809,32788,13496,32943,32898,13346,32914,32824,13138,32804,32861,13146,32805,33145,13027,33026,33048,13564,32765,32849,13041,32902,32824,13413,33021,32893,13329,32892,32900,13547,32892,33038,13518,32862,32919,13184,32849,32956,13047,32892,32784,13093,32881,32843,12541
33015,32918,13317,32807,32789,13493,32948,32903,13316,32916,32811,13145,32801,32863,13145,32806,33146,13043,33024,33044,13551,32763,32842,13046,32904,32823,13416,33024,32894,13337,32893,32907,13528,32890,33039,13472,32860,32922,13205,32847,32949,13055,32897,32784,13122,32886,32844,13262
33019,32918,13330,32805,32794,13463,32945,32893,13339,32913,32817,13158,32805,32860,13175,32805,33155,13019,33029,33047,13585,32763,32844,13047,32902,32821,13414,33021,32897,13331,32893,32897,13509,32893,33043,13495,32864,32918,13191,32847,32951,13059,32891,32781,13102,32878,32836,12574
33023,32919,13323,32810,32790,13476,32946,32905,13346,32910,32822,13154,32802,32861,13160,32805,33150,13014,33031,33057,13572,32763,32843,13058,32902,32823,13421,33023,32898,13347,32897,32896,13530,32890,33040,13513,32862,32917,13186,32849,32950,13059,32893,32779,13129,32882,32845,13252
