0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
10289,24001,61831,15169,48082,10427,10872,42865,5092,21053,51123,17144,11598,11587,55709,18194,6184,3311,11959,59676,1853,24058,16466,16750,19165,1820,54392,26114,10629,63539,20857,207,56557,28615,18989,7034,23164,12596,64044,27121,61051,65065,26923,2955,54690,34449,7180,3862
10496,23872,61520,15150,48255,9839,10924,42812,4513,20983,51262,16722,11546,11513,54819,18135,6312,3428,11802,59668,1845,23937,16916,16830,18947,1482,53755,26123,10586,63594,20872,16,56400,28613,18996,7234,23082,12229,63734,27118,60581,65118,26878,2717,53934,34573,6976,4037
10529,23973,61315,15039,48432,8657,10905,43017,3816,20729,51341,15636,11344,11505,54340,17960,6433,3444,11673,59730,1818,23818,17170,16945,18796,961,53408,26098,10539,63638,20786,65317,56351,28543,19037,7255,23033,12088,62904,27042,59880,65117,26822,2200,53584,34554,6554,4138
10533,24100,60465,14798,48560,7949,10857,43202,2207,20548,51415,15042,11223,11593,53720,17862,6811,3333,11357,59791,1548,23409,17426,16971,18593,718,52545,26050,10520,63623,20712,65199,55994,28474,19060,7353,22872,11876,62396,26749,59472,65132,26746,1957,52714,34492,6360,4300
10525,24313,59759,14551,48915,7060,10672,43331,1054,20285,51440,13466,11135,11669,51926,17498,6891,3038,11146,59813,1113,23081,17664,16948,18222,381,51849,25907,10494,63460,20466,65116,55550,28224,18967,7352,22754,11409,61070,26498,58488,64951,26521,1310,52038,34230,5434,4346
10558,24362,58551,14363,49075,5148,10666,43451,65517,19928,51555,12734,11023,11735,50955,17276,6986,2835,10940,59845,271,22554,17723,17009,18025,65255,50466,25828,10294,63221,20383,64804,54886,28117,18705,7273,22556,11189,60444,26038,57868,64400,26425,1089,50682,34104,4922,4210
10734,24405,58158,14074,49303,4251,10666,43505,63561,19801,51611,11485,11055,11911,50073,16926,7015,2275,10508,59935,65306,22293,17445,17025,17797,65086,49772,25679,10186,63025,20133,64713,55101,27912,18522,7110,22485,10741,58589,25795,56641,63967,26234,565,49982,33821,3653,4127
10804,24420,57453,14086,49585,3424,10782,43665,62810,19751,51468,11004,11049,12002,48470,16797,7002,2078,10354,59921,64722,21988,17269,17079,17677,65025,48509,25648,10024,62885,20079,64443,54738,27826,18191,7014,22310,10532,57902,25590,56103,63222,26141,311,48692,33691,3150,3957
10833,24556,57340,14098,49790,2382,10877,43937,61843,19853,51286,10090,10875,12104,47972,16723,7050,2098,10125,59912,64833,21944,17534,17184,17438,64897,48095,25614,9924,62824,20009,64364,54490,27753,18122,7101,22252,10214,57385,25269,55411,63018,26037,65322,48247,33508,2847,3991
10788,25147,56782,14236,49945,1955,11010,44296,61475,19949,51127,9609,10763,12370,47559,16638,7358,2229,10028,59974,65177,21832,17848,17325,17280,64584,47428,25600,9970,62862,19983,64195,54468,27718,18228,7171,22167,10108,56429,25170,55152,63052,25976,64955,47612,33427,2630,4185
