1709,9118,42658,3675,8701,36751,3114,6397,45899,3720,5134,34976,36577,39554,14841,909,593,38274,3074,7321,50398,7579,64894,26858
1703,9099,42646,3648,8674,36751,3114,6387,45888,3676,5098,34971,36575,39557,14858,903,591,38271,3117,7364,50422,7548,64862,26848
1625,9008,42629,3603,8623,36746,3121,6394,45899,3702,5119,34974,36579,39567,14844,915,603,38268,3063,7313,50427,7579,64901,26896
1636,9035,42658,3631,8658,36757,3121,6393,45897,3705,5094,34974,36576,39548,14860,925,590,38272,3089,7332,50399,7577,64900,26857
1643,9035,42626,3637,8689,36750,3146,6425,45901,3694,5117,34973,36576,39560,14857,876,560,38262,3088,7341,50418,7569,64882,26855
1655,9059,42629,3650,8679,36751,3174,6440,45887,3679,5092,34984,36576,39560,14853,912,593,38271,3073,7316,50417,7548,64873,26889
1630,9025,42626,3633,8682,36756,3145,6422,45906,3700,5092,34972,36578,39557,14857,962,639,38272,3099,7357,50411,7609,64873,26811
1669,9069,42649,3650,8673,36747,3146,6419,45891,3727,5130,34960,36582,39558,14797,935,599,38268,3133,7394,50422,7585,64888,26830
1691,8998,42611,3658,8679,36755,3127,6451,45908,3703,5137,34972,36577,39553,14837,938,578,38266,3105,7314,50393,7648,64864,26801
1685,9027,42637,3683,8722,36758,3161,6439,45903,3747,5171,34977,36575,39553,14850,893,585,38268,3102,7355,50414,7589,64895,26875
1658,9057,42644,3637,8661,36739,3129,6396,45930,3733,5153,34978,36580,39564,14849,884,588,38264,3065,7309,50407,7581,64895,26824
1721,9140,42639,3649,8671,36748,3127,6406,45917,3724,5137,34974,36579,39569,14839,908,597,38266,3070,7317,50395,7528,64851,26848
1675,9077,42642,3650,8681,36744,3160,6435,45907,3747,5178,34954,36580,39552,14852,924,614,38273,3078,7322,50401,7543,64857,26796
1710,9116,42658,3630,8656,36742,3159,6439,45906,3796,5214,34959,36579,39548,14860,938,621,38270,3047,7296,50390,7550,64862,26809
1672,9072,42640,3666,8725,36756,3163,6435,45911,3724,5138,34975,36583,39560,14842,932,601,38264,3074,7328,50418,7556,64875,26861
